image_path	predicted	L2_distance	others(top-k)
7988559/test/sapi_a/sapi_a_10.jpg	sapi_u	163.1458	sapi_u:163.1458; sapi_t:209.7411; sapi_a:221.3306
7988559/test/sapi_a/sapi_a_6.jpg	sapi_a	127.9671	sapi_a:127.9671; sapi_t:312.9639; sapi_e:327.4006
7988559/test/sapi_a1/sapi_a1_17.jpg	sapi_p	139.4145	sapi_p:139.4145; sapi_a1:159.2524; sapi_z:262.1228
7988559/test/sapi_a1/sapi_a1_5.jpg	sapi_a1	112.5855	sapi_a1:112.5855; sapi_e:167.8324; sapi_h:179.5022
7988559/test/sapi_b/sapi_b_1.jpg	sapi_a1	150.9248	sapi_a1:150.9248; sapi_b:168.8275; sapi_z:244.7179
7988559/test/sapi_b/sapi_b_5.jpg	sapi_q	206.4363	sapi_q:206.4363; sapi_i:211.5334; sapi_d1:263.9111
7988559/test/sapi_b1/sapi_b1_16.jpg	sapi_b1	140.8799	sapi_b1:140.8799; sapi_q:187.9464; sapi_m:247.5247
7988559/test/sapi_b1/sapi_b1_5.jpg	sapi_b1	124.0264	sapi_b1:124.0264; sapi_u:209.3681; sapi_b:260.8148
7988559/test/sapi_c/sapi_c_5.jpg	sapi_c	113.6666	sapi_c:113.6666; sapi_w:200.4772; sapi_v:235.7267
7988559/test/sapi_c/sapi_c_6.jpg	sapi_c	109.2930	sapi_c:109.2930; sapi_w:238.1755; sapi_v:249.8243
7988559/test/sapi_c1/sapi_c1_15.jpg	sapi_c1	298.7276	sapi_c1:298.7276; sapi_q:381.6891; sapi_b1:414.9598
7988559/test/sapi_c1/sapi_c1_3.jpg	sapi_c1	147.9062	sapi_c1:147.9062; sapi_m:223.2286; sapi_k:296.4505
7988559/test/sapi_d/sapi_d_1.jpg	sapi_b	160.4979	sapi_b:160.4979; sapi_d:231.1185; sapi_u:251.1635
7988559/test/sapi_d/sapi_d_2.jpg	sapi_d	76.8997	sapi_d:76.8997; sapi_x:225.3603; sapi_i:225.9160
7988559/test/sapi_d1/sapi_d1_4.jpg	sapi_d1	72.2451	sapi_d1:72.2451; sapi_b1:279.5623; sapi_r:301.9216
7988559/test/sapi_d1/sapi_d1_8.jpg	sapi_o	217.2895	sapi_o:217.2895; sapi_m:226.8065; sapi_k:242.4771
7988559/test/sapi_e/sapi_e_10.jpg	sapi_b	210.9810	sapi_b:210.9810; sapi_y:227.9485; sapi_z:243.8572
7988559/test/sapi_e/sapi_e_11.jpg	sapi_i	199.8504	sapi_i:199.8504; sapi_z:210.9219; sapi_b:214.5112
7988559/test/sapi_f/sapi_f_3.jpg	sapi_m	252.8777	sapi_m:252.8777; sapi_k:339.8847; sapi_o:356.8623
7988559/test/sapi_f/sapi_f_7.jpg	sapi_f	216.3158	sapi_f:216.3158; sapi_i:220.2516; sapi_l:222.9192
7988559/test/sapi_g/sapi_g_1.jpg	sapi_o	231.7721	sapi_o:231.7721; sapi_i:235.2069; sapi_k:244.8805
7988559/test/sapi_g/sapi_g_5.jpg	sapi_t	191.7556	sapi_t:191.7556; sapi_a:201.9611; sapi_g:245.1318
7988559/test/sapi_h/sapi_h_19.jpg	sapi_h	60.4580	sapi_h:60.4580; sapi_j:141.4045; sapi_z:199.9689
7988559/test/sapi_h/sapi_h_21.jpg	sapi_h	127.7878	sapi_h:127.7878; sapi_e:160.9517; sapi_j:172.3568
7988559/test/sapi_i/sapi_i_4.jpg	sapi_i	125.6470	sapi_i:125.6470; sapi_o:215.5135; sapi_k:236.7522
7988559/test/sapi_i/sapi_i_8.jpg	sapi_i	57.0923	sapi_i:57.0923; sapi_l:195.2946; sapi_k:228.2970
7988559/test/sapi_j/sapi_j_5.jpg	sapi_j	123.9572	sapi_j:123.9572; sapi_h:145.8269; sapi_z:190.5961
7988559/test/sapi_j/sapi_j_8.jpg	sapi_j	157.6750	sapi_j:157.6750; sapi_h:232.9367; sapi_n:261.6443
7988559/test/sapi_k/sapi_k_2.jpg	sapi_k	57.5148	sapi_k:57.5148; sapi_o:229.5123; sapi_i:281.4246
7988559/test/sapi_k/sapi_k_7.jpg	sapi_k	119.7364	sapi_k:119.7364; sapi_o:179.9107; sapi_i:232.5474
7988559/test/sapi_l/sapi_l_2.jpg	sapi_l	135.4786	sapi_l:135.4786; sapi_f:178.2954; sapi_i:197.6887
7988559/test/sapi_l/sapi_l_6.jpg	sapi_i	146.4859	sapi_i:146.4859; sapi_l:162.1810; sapi_h:171.4079
